date,time,description,amount_sar
2026-07-01,09:00,SALARY - COMPANY XYZ,4000.00
2026-07-01,17:15,STARBUCKS COFFEE JEDDAH,-22.00
2026-07-02,08:30,PANDA HYPERMARKET,-186.50
2026-07-02,18:00,JAHEZ DELIVERY,-54.00
2026-07-03,11:00,STC MOBILE BILL,-120.00
2026-07-03,16:45,BARNS COFFEE,-19.00
2026-07-03,20:10,UBER TRIP,-28.50
2026-07-04,17:30,DR CAFE COFFEE,-24.00
2026-07-05,09:00,RENT PAYMENT TRANSFER,-1500.00
2026-07-05,10:00,NETFLIX.COM,-39.99
2026-07-05,10:02,SHAHID VIP,-29.00
2026-07-05,10:05,SPOTIFY PREMIUM,-19.99
2026-07-05,16:50,STARBUCKS COFFEE JEDDAH,-21.00
2026-07-06,12:20,CARREFOUR MARKET,-142.00
2026-07-06,19:40,HUNGERSTATION,-63.00
2026-07-07,17:10,BARNS COFFEE,-18.50
2026-07-08,16:40,STARBUCKS COFFEE JEDDAH,-23.00
2026-07-08,21:00,CAREEM RIDE,-32.00
2026-07-09,17:55,DR CAFE COFFEE,-20.00
2026-07-10,13:15,PANDA HYPERMARKET,-210.00
2026-07-10,18:20,JAHEZ DELIVERY,-48.00
2026-07-11,16:35,STARBUCKS COFFEE JEDDAH,-25.00
2026-07-12,10:00,ELECTRICITY BILL SEC,-180.00
2026-07-12,17:05,BARNS COFFEE,-19.50
2026-07-13,09:45,STC PAY TRANSFER,-100.00
2026-07-13,18:00,HUNGERSTATION,-58.00
2026-07-14,16:50,DR CAFE COFFEE,-22.50
2026-07-15,17:20,STARBUCKS COFFEE JEDDAH,-24.00
2026-07-15,19:30,CAREEM RIDE,-30.00
2026-07-16,12:00,CARREFOUR MARKET,-165.00
2026-07-17,16:45,BARNS COFFEE,-18.00
2026-07-18,17:40,STARBUCKS COFFEE JEDDAH,-26.00
2026-07-18,20:15,JAHEZ DELIVERY,-70.00
2026-07-19,17:00,DR CAFE COFFEE,-21.00
2026-07-20,16:55,STARBUCKS COFFEE JEDDAH,-22.50
2026-07-21,13:30,PANDA HYPERMARKET,-175.00
2026-07-22,17:15,BARNS COFFEE,-19.00
2026-07-22,19:50,HUNGERSTATION,-55.00
2026-07-23,16:40,STARBUCKS COFFEE JEDDAH,-23.50
2026-07-24,17:25,DR CAFE COFFEE,-20.50
2026-07-25,16:50,STARBUCKS COFFEE JEDDAH,-24.50
2026-07-26,17:00,STARBUCKS COFFEE JEDDAH,-22.00
2026-07-27,12:00,PANDA HYPERMARKET,-95.00
